Headline,Date,Content,scores,compound_scores
MOF's Budget Quiz returns for 9th year,Jan 20 2019,"SINGAPORE - How much do you think you know about how the nation spends its money?Tee Zhuo Now into its ninth year, the Budget Quiz returns again to test Singaporeans' knowledge of the Republic's finances. Organised by the Ministry of Finance (MOF), the quiz launches on Monday (Jan 21) at 9am on the   and will run for three weeks until Feb 8. All Singaporeans and permanent residents are invited to participate, the MOF said in a statement on Sunday. Questions that will be asked include: What is currently the biggest contributor to government revenue? And which sector saw the highest government expenditure in FY2018? Besides an open category, the quiz also has an inter-school challenge, where secondary schools, junior colleges, the Institute of Technical Education, polytechnics and centralised institutes can take part. Those schools with the highest number of participating students will be awarded trophies. ""MOF seeks to increase public awareness and understanding of the annual budget process and of key national policies, and expose participants to the intricacies of policymaking in a simplified manner,"" the ministry said. The quiz comes ahead of this year's Budget Statement, to be delivered by Finance Minister Heng Swee Keat on Feb 18. Those interested may subscribe on the Budget website to receive the full statement and related materials after its delivery. More information can be found at ","{'neg': 0.007, 'neu': 0.945, 'pos': 0.048, 'compound': 0.8042}",0.8042
Wall Street wary of progressive Democrats on the House finance committee,Jan 20 2019,"WASHINGTON (AFP) - Wall Street is bunkering down for a wave of intense scrutiny as a group of progressive Democrats, including social media star Alexandria Ocasio-Cortez, have joined a powerful House of Representatives committee overseeing banking activities. ""It's a huge victory,"" said Ms Ocasio-Cortez, who at 29 is   and a self-described socialist - a word that shocks conservatives, who brandish it as a dire threat. ""I cannot stress how important this moment is. Dems are putting members who rejected corporate campaign money on a committee overseeing Wall St.,"" she tweeted. Ms Ocasio-Cortez, often referred to by her initials AOC, will bring public attention to the ordinarily drab committee via her strong social media presence that includes 2.5 million followers on Twitter. Wall Street is trying to figure out the goals of the Democrats, now in charge of the House of Representatives after eight years of control by President Donald Trump's Republicans. While the Senate remains in Republican hands and ready to block dramatic changes, Democratic control of the House promises at least to make life difficult for bankers, with tighter industry oversight and lengthy public hearings. The symbolism is already striking. The panel is headed by Ms Maxine Waters, 80, a regular target of Mr Trump's barbs, who is the first woman and the first African American to head the committee. Ms Waters has warned the financial sector that the days of banking deregulation and lax oversight are over. In her first speech as committee chairwoman last Wednesday (Jan 16), Ms Waters said the 2008 financial crisis ""was a result of Wall Street running amok, with abusive institutions peddling toxic products... with no agency responsible for prioritising consumer protection"". ""Ultimately, the economy was sent tumbling into the abyss,"" she said. ""Our fear,"" a banking source told AFP, ""is that she (Waters) will reinforce oversight of big banks."" The source expects to see ""more CEO hearings in Congress"" with the Democrats in charge. Half of the new committee members belong to the Progressive Caucus, the left wing of the Democratic Party. Several made a splash when they ran for office in the November 2018 election. They include Ms Ayanna Pressley, the first African American congresswoman from Massachusetts, and Ms Rashida Tlaib, the first Palestinian American and one of the two first female Muslim lawmakers in Washington. The newcomers favour tighter banking oversight, but also promise to fight for easier access to credit, more industry diversity, and against housing discrimination. ""I'm looking forward to digging into the student loan crisis, examining for-profit prisons/ICE detention, and exploring the development of public & postal banking. To start,"" Ms Ocasio-Cortez tweeted. ""Public banking"" are two words that send shivers down the spine of Wall Street. Nevertheless, ""Cortez won't set the agenda of the committee, Chairwoman Walters will"", a second banking source said. ""We have a lot of differences with her (Waters) but she's been in that committee for 30 years. We know her, she knows us,"" the source said. ""There are bipartisan issues we can work on."" The alliance of progressive Democrats extends into the Senate, where they can count on support from Ms Elizabeth Warren, who has announced her interest in running for president in 2020. Even though she is confined to the opposition, the 69-year-old senator can make bankers and government officials squirm with tough questions from her perch on the Senate finance committee. ""With Republicans in control of the Senate, Waters' best hope for the next two years is to keep financial issues in the limelight in the hope they influence the election next year,"" wrote FTN analyst Chris Low.","{'neg': 0.058, 'neu': 0.863, 'pos': 0.08, 'compound': 0.9415}",0.9415
"1MDB scandal: Goldman Sachs apology not enough, says Malaysia's Finance Minister Lim Guan Eng",Jan 19 2019,"KUALA LUMPUR •   does not cut it for Malaysia, which said it may consider a discussion to  . The country  , the first for Goldman, and may discuss dropping those allegations if the bank pays the sum, Finance Minister Lim Guan Eng told reporters yesterday. Units of the bank were accused of making false statements in documents submitted to a local regulator in arranging US$6.5 billion bond offers for troubled state fund 1MDB. ""Goldman Sachs should understand the agony and the trauma suffered by the Malaysian people as a result of the 1MDB scandal,"" Mr Lim said in the administrative capital of Putrajaya. ""An apology is just not sufficient. Not enough. There must be the necessary reparations and compensation,"" he added. Goldman's chief executive David Solomon this week apologised to the Malaysian people for the role that senior banker  . The country was ""defrauded by many individuals"", with Leissner being ""one of those people"", Mr Solomon said during a conference call with analysts, after the investment bank reported its earnings on Wednesday. Leissner has pleaded guilty to charges including conspiring to launder money, while another former Goldman banker Roger Ng remains in custody in Malaysia as he faces extradition to the United States to face related allegations. Mr Solomon reiterated that the firm conducted considerable due diligence on the deals and was lied to by Leissner. Appearing on his first earnings call since becoming CEO in October, Mr Solomon said the firm is cooperating with the US Justice Department and the investigation is still open. Goldman has said it will vigorously defend itself against the charges by Malaysia. The allegations against Goldman were filed by Attorney-General Tommy Thomas as Malaysia's top prosecutor, while the Finance Minister is not formally authorised to make decisions on criminal charges. ""At least he accepted that they have to bear and shoulder some responsibility,"" Mr Lim said, referring to Mr Solomon. ""If not for the change of government, do you think Goldman Sachs would have apologised? We are talking about the largest investment bank in the world... It's not easy to get an apology from them,"" Mr Lim said. ""An apology with US$7.5 billion, that is what matters.""","{'neg': 0.082, 'neu': 0.866, 'pos': 0.052, 'compound': -0.9402}",-0.9402
New initiative launched to help financial sector be more sustainable,Jan 21 2019,"SINGAPORE - Financial institutions, non-governmental organisations and academics will work together under a new initiative to help businesses be more sustainable.Sue-Ann Tan The Asia Sustainable Finance Initiative (ASFI), which was launched on Monday (Jan 21) at the Parkroyal on Pickering hotel, aims to help shift the region's financial flows towards sustainable outcomes. It will bring together the finance industry, academia and science-based organisations to help Singapore-based financial institutions operating in the region to deepen their expertise in sustainable finance. The World Wide Fund for Nature (WWF) is the secretariat and knowledge partner. Other knowledge partners include the Asia Investor Group on Climate Change and the National University of Singapore. The Association of Banks in Singapore, the Life Insurance Association, Institute of Banking and Finance Singapore and the Singapore Exchange Regulation are among the finance sector partners. An ASFI spokesman said: ""The financial sector is crucial in creating resilient and sustainable economic growth through its ability to influence companies to adopt best practices and to direct financial flows towards sustainable development. ""As a key global financial hub, Singapore is an important conduit for capital flows into the Asia region, and as such its financial institutions have significant potential to shape resilient regional economies."" Receive e-mail newsletter on key announcements and how they affect you. By signing up, you agree to our   and  Sustainable finance is also key to addressing the region's increasing vulnerability to climate change, the degradation of land and ocean ecosystems, labour and human rights and water risk, she added. The initiative will focus on helping financial institutions better understand and incorporate environmental, social and governance risks and opportunities into decision making. It will assist partners in devising standards and certification schemes and help institutions understand material, environmental and social issues so they can price risk and value companies. The ASFI will also bring research and innovative tools so finance institutions can develop viable green solutions to create an actual impact on the environment and society. Ms Indranee Rajah, Minister in the Prime Minister's Office and Second Minister for Finance and Education, told the launch: ""Financial institutions play an important role in influencing how capital is allocated to economic activities with sustainable development outcomes. "" This will facilitate decision-making ... that delivers financial performance as well as positive impacts on society."" She added that as a financial centre, institutions here have significant potential to catalyse sustainable finance in the region. ""While we are still at the early stages ... we have seen some success in encouraging the use of debt capital market financing towards sustainable projects."" In 2017, developer City Developments Limited issued the first green bond in Singapore and DBS Bank partnered Impact Investment Exchange to list the world's first listed social bond, an US$8 million Women's Livelihood Bond. ""Over the years, we have also built a strong ecosystem of investment managers who possess significant expertise in investing into Asia, many of whom are actively exploring the integration of ESG considerations with Asian investment strategies,"" Ms Indranee added. She said that Singapore can advance deeper ESG integration within financial institutions and implement credible standards. There should also be deepened research and development in ESG products by building capabilities. The Ministry of Environmental and Water Resources and the Monetary Authority Singapore welcomed the initiative: ""Partnerships and collective action are essential to achieving sustainable development."" Ms Jeanne Stampe, the head of WWF's Asia Sustainable Finance team and founder of ASFI, said: ""Today's pressing environmental and social challenges threaten the ... stability of Asian economies.","{'neg': 0.029, 'neu': 0.843, 'pos': 0.128, 'compound': 0.9944}",0.9944
"Budget 2019 to focus on education, healthcare, security",Jan 21 2019,"Singapore's needs in education, healthcare, security and defence are growing, and the upcoming Budget will focus on these areas, said Amelia Teng . Mr Heng, who will deliver the Budget statement on Feb 18, said another priority will be to help Singaporeans grapple with significant changes taking place in the global economy and make use of opportunities,  . Speaking on the sidelines of a community event in Tampines yesterday, he said: ""We've done well in providing healthcare and education. We'll continue to do that - the needs in those areas are growing. At the same time, the needs for better security, and better ability to defend ourselves, are also growing."" The Budget will focus on these key areas as well as in  , he said. While Budget 2019 is Mr Heng's fourth as Finance Minister, it will be his first since he was named first assistant secretary-general of the ruling People's Action Party, setting the stage for his anticipated succession as Singapore's next prime minister. Yesterday, Mr Heng gave a quick overview of some key challenges that Singapore faces. The Budget's ""one simple aim"" is to improve the lives of Singaporeans, and ""the needs are very large, whether it is building big-scale infrastructure projects, like our MRT lines or the airport, or especially our HDB flats, or whether it's taking care of our seniors, and in fact all Singaporeans"". Receive e-mail newsletter on key announcements and how they affect you. By signing up, you agree to our   and  He also highlighted the importance of keeping the economy vibrant amid global uncertainties and rapid technological changes. ""We must take this opportunity to ride this wave of change and enable Singaporeans of all ages to do well in the coming years,"" he said. Mr Heng added that Singapore has to be ""very watchful about global developments"", when asked how the  . Last Tuesday, British MPs   from the European Union, which is scheduled to take place on March 29. Mr Heng cited developments such as the new risks building up in the global economy, be it Brexit or the protectionist movement growing around the world. He said: ""People's support for globalisation is weakening because there is a sense that globalisation has left some people behind. And unfortunately, some of the developments are negative, even for their own country. Even for people who advocated a particular course of action, they're now regretting it."" Said Mr Heng: ""It just shows that when we make economic policies, we have to be very, very thoughtful of the long-term implications, and that we cannot avoid doing the difficult things."" Singapore is on the right track by starting the process of restructuring its economy, he added. ""It's not easy. A lot of hard work goes into companies transforming themselves, a lot of hard work by workers to learn new skills. But it is the right thing to do and I hope that we can sustain the momentum.""","{'neg': 0.044, 'neu': 0.825, 'pos': 0.131, 'compound': 0.99}",0.99
"Top stories from The Straits Times on Monday, Jan 21",Jan 21 2019,"Good morning! Here are our top stories to kick-start your Monday, Jan 21. Finance Minister Heng Swee Keat said one priority will be to help Singaporeans grapple with big changes in the global economy. The accident happened while he was repairing a howitzer. Mr Pang is in a high-dependency unit after surgery. High standards of education and students with better grades taking the test are among the reasons cited. Receive e-mail newsletter on key announcements and how they affect you. By signing up, you agree to our   and  Defence Minister Ng Eng Hen said leaders from both sides are communicating, even as the Republic's security agencies remain ever vigilant. Dr Tan's move to form a political party is “a development that is not totally unexpected”, Finance Minister Heng Swee Keat said. The forum is still relevant despite the absence of notable leaders like US President Donald Trump and Chinese leader Xi Jinping, says its founder. Singaporean Jian Yang's collection of about 10,000 Barbie dolls is among the world's largest. US President Donald Trump pursued a business deal to erect a tower bearing his name in Moscow throughout 2016, his attorney Rudy Giuliani said. More people are hiring security guards for weddings, funeral wakes and private parties, paying between $200 and $500 an hour per security guard. Adult ADHD patients may struggle at work or in their studies. Some seek help, when their child is diagnosed with ADHD, as they think they have it too. ","{'neg': 0.03, 'neu': 0.841, 'pos': 0.129, 'compound': 0.9686}",0.9686
"DPM Tharman, Heng Swee Keat and Iswaran to attend annual World Economic Forum in Davos",Jan 21 2019,"SINGAPORE - Three Cabinet Ministers will attend Linette Lai , Switzerland, which starts on Tuesday (Jan 22). They are Deputy Prime Minister Tharman Shanmugaratnam, Finance Minister Heng Swee Keat, and Communications and Information Minister S. Iswaran, who is also Minister-in-Charge of Trade Relations. At the  , the ministers will speak on a variety of topics, including global trade and financial governance, infrastructure development, the digital economy and artificial intelligence, said the Prime Minister's office in a statement on Monday (Jan 21). They will also meet government and business leaders from around the world. The theme for this year's Davos meeting is  Shaping A New Architecture In The Age Of The Fourth Industrial Revolution. Major leaders will be missing from the meeting, including  , who cancelled his delegation's trip to tackle the ongoing US government shutdown, and Chinese President Xi Jinping, who is sending Vice-President Wang Qishan. British Prime Minister Theresa May and French President Emmanuel Macron will also not be in attendance. Receive e-mail newsletter on key announcements and how they affect you. By signing up, you agree to our   and  Only three leaders from the Group of Seven's (G-7) most developed economies will be present: Japanese Prime Minister Shinzo Abe, German Chancellor Angela Merkel and Italian Prime Minister Giuseppe Conte. The forum was founded by German engineer and economist Klaus Schwab in 1971. It aims to improve the state of the world by bringing together business, political, academic and other leaders to shape global, regional and industry agendas. Business leaders, for example, will have opportunities to network and strike deals with their counterparts from other countries on the sidelines of the main conference. Delegates will have more than 300 sessions to choose from. Issues on the agenda include climate change, mental health and the rise of populism.","{'neg': 0.019, 'neu': 0.944, 'pos': 0.037, 'compound': 0.7506}",0.7506
Philippines' richest person Henry Sy dies at 94,Jan 20 2019,"MANILA • Mr Henry Sy, who became a billionaire by parlaying a shoe store into the biggest retailer in the Philippines, has died. He was 94. He died in his sleep yesterday morning, his daughter, Ms Teresita Sy-Coson, and Mr Jose Sio, chairman of SM Investments, said. Mr Sy had a net worth of US$7.2 billion (S$9.8 billion), according to the Bloomberg Billionaires Index, making him the richest person in the Philippines. His company started as a shoe store in 1948. Today, SM Investments is an empire that includes SM Retail, which operates the nation's biggest supermarket and department-store chains; SM Prime Holdings, the largest shopping-mall operator; and BDO Unibank. In the nation of more than 105 million people, his malls attract an average of 3.5 million shoppers a day. ""It's not overboard to consider Sy as the father of Philippine retail,"" said Mr Astro del Castillo, managing director at First Grade Finance Inc. ""His grocery, department stores and malls introduced the one-stop-shop concept in the country, and his malls changed not only the practice of retail but the way of life."" Mr Sy amassed his fortune against the backdrop of unstable governments, political corruption and economic contractions, notably the Asian financial crisis of 1997-1998. He continued to expand his empire with new shopping malls and a bank that eventually became the nation's largest by assets. Today, the group runs 62 department stores, 56 supermarkets, a network of 194 SaveMore grocery stores and 50 hypermarkets. Mr Sy was born in Xiamen, in China's Fujian province. He emigrated to the Philippines at the age of 12 and started selling rice, sardines and soap at his father's neighbourhood store in Manila in 1936. The store was burned and looted during World War II. Following the war, he set up a footwear store, and later founded ShoeMart, the nation's largest chain and the first air-conditioned shop to sell shoes in the Philippines, in 1958. In 1972, Mr Sy opened his first department store two months after then President Ferdinand Marcos placed the country under martial law. Mr Sy opened his first mall in 1985, when the economy was in its worst post-war slump. ""Every time the country is in a crisis, I think and decide where is the best way to go,"" Mr Sy said in a July 2009 interview. ""We have to always think of ways to overcome these limitations.""","{'neg': 0.084, 'neu': 0.878, 'pos': 0.038, 'compound': -0.9758}",-0.9758
New moves to boost financial literacy,Jan 20 2019,"New initiatives were recently implemented under the national financial education programme, MoneySense, to equip Singaporeans with the skills to manage their finances more effectively.Lorna Tan The Sunday Times highlights these initiatives, which include an online tool and a new programme in schools. Please   or   to continue reading the full article. Learn more about ","{'neg': 0.0, 'neu': 0.957, 'pos': 0.043, 'compound': 0.3182}",0.3182
"Singaporeans have to decide who can serve them better, says Heng Swee Keat on Tan Cheng Bock's new political party",Jan 20 2019,"SINGAPORE - Finance Minister Heng Swee Keat said Singaporeans will need to decide who can better serve them, in response to former People's Action Party (PAP) MP Tan Cheng Bock's return to politics.Amelia Teng Dr Tan's move to form a political party is “a development that is not totally unexpected”, Mr Heng said on Sunday (Jan 20) on the sidelines of a community event in Tampines. “Singaporeans will have to decide on who can serve them better, and I will leave Singaporeans to make that judgment,” he said. Mr Heng, first assistant secretary-general of the ruling PAP, is the first PAP leader to weigh in on news of Dr Tan setting up a political party. Last Friday, Dr Tan, 78, announced that he had applied last Wednesday to register the Progress Singapore Party, which includes 11 other “like-minded Singaporeans”, some of whom are former PAP cadres.  The six-term MP, who retired from politics in 2006, lost narrowly to Dr Tony Tan Keng Yam in the 2011 Presidential Election. He resigned from the PAP that year. The next general election must be held by April 2021. , Law and Home Affairs Minister K. Shanmugam said he bumped into Dr Tan Cheng Bock last Saturday (Jan 19) during his usual morning walkabout at Chong Pang hawker centre and the nearby coffee shops. “I told Dr Tan to come more often. I tell this to a lot (of) people – good for business in Chong Pang,” he said, adding that he also took a photograph with Dr Tan. Dr Tan also posted on Facebook photographs from his breakfast in Chong Pang. In one of them, he was seen with former National Solidarity Party acting secretary-general Hazel Poa, who contested in the 2011 General Election.","{'neg': 0.018, 'neu': 0.891, 'pos': 0.09, 'compound': 0.967}",0.967
